model,MAE,RMSE,MAPE_percent,PICP_percent,MPIW
MLP,329.9157451824735,438.1172924550409,2.2098369136052463,90.61983926015633,1477.3302607988717
ANFIS_like,401.4728536106028,525.4267241902875,2.7249948235374353,91.73180667180448,1857.4690855180927
ANFIS_PSO,401.4728536106028,525.4267241902875,2.7249948235374353,91.73180667180448,1857.4690855180927
LinearRegression,416.9931419724805,533.5581839508618,2.8158693905116152,91.4840911593086,1835.795621003011
Persistence,809.380105691952,1022.6629425450145,5.5392625691469055,89.74457778267092,3468.5
